id,created_at,full_text
1428613109824954371,2021-08-20 07:01:22,b'RT @OmarAlghabra: Canadians know that inflation is caused by the pandemic and repeated lockdowns. One of the best ways to deal with inflati\xe2\x80\xa6'
1428554976129732611,2021-08-20 03:10:22,b'Seniors deserve to live in dignity and safety. Personal support staff deserve to be recognized as the heroes that they have proven to be throughout this pandemic. We must improve working and living conditions for both so that Canadians feel confident in the care seniors receive.'
1428554975043411970,2021-08-20 03:10:21,"b'This would mean; \n\n\xf0\x9f\x91\x89Raising minimum wages for care workers to $25/hr\n\xf0\x9f\x91\x89Training up to 50,000 new support workers\n\xf0\x9f\x91\x89Doubling the Home Accessibility Tax Credit\n\xf0\x9f\x91\x89Improving quality and availability in long-term care\n\xf0\x9f\x91\x89Developing a Safe Long Term Care Act'"
1428554973772537860,2021-08-20 03:10:21,"b'Covid-19 has impacted all Canadians, but none more so than seniors and those working in care. Today, we announced that a re-elected Liberal government would move #ForwardForEveryone by investing $9 billion to improve long-term care and support those seniors that need it most.'"
1428502247638396937,2021-08-19 23:40:50,"b""You're invited! \n\nJoin us at our official campaign kick off this Saturday for a hybrid virtual and in-person event - because you know what is best for you! \n\nClick the link below to RSVP \xf0\x9f\x91\x87\n\nhttps://t.co/Hr8sZkFIpE"""
1428490159746551814,2021-08-19 22:52:48,"b""RT @TonyVanBynen: #ICYMI we're committed to working with the provinces and territories &amp; investing in LTC to:\n\n\xe2\x9e\xa1\xef\xb8\x8f guarantee a $25/hr min wa\xe2\x80\xa6"""
1428461322669215746,2021-08-19 20:58:13,"b""RT @JustinTrudeau: Raising kids is expensive. That\xe2\x80\x99s why we're working towards $10 a day child care. Learn more \xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/MEE6HlYjSQ"""
1428396887447535622,2021-08-19 16:42:10,"b'Our campaign office for #Elxn44 is open! \n\nCome visit us in the Westview Shopping Centre at the 2601 Westview Drive, #712, to volunteer, donate, or pick up a lawn sign. https://t.co/hxwBXYRLAw'"
1428095394945277952,2021-08-18 20:44:09,"b""We can't afford a government that does not believe in climate change - we have to continue implementing ambitious and impactful policies that will get us to #NetZero by 2050, ensure a healthy environment for all Canadians, and energize a sustainable and resilient economy."""
1428095394039230465,2021-08-18 20:44:09,"b'We will continue to fight climate change while keeping Canadians safe by; \n\n\xf0\x9f\x91\x89 Hiring 1,000 new firefighters. \n\xf0\x9f\x91\x89 Making homes more resilient to climate change.\n\xf0\x9f\x91\x89 Enhancing wildfire readiness in national parks.\n\xf0\x9f\x91\x89 Innovating climate adaptation strategies.'"
1428095391744987138,2021-08-18 20:44:08,"b""Here in BC, we have felt the impact of our changing climate first hand. That's why @JustinTrudeau announced a $500 million investment before the next fire season for the new firefighters, waterbombers, and equipment that provinces urgently need. https://t.co/pouij9FWR7"""
1428079493378367489,2021-08-18 19:40:58,"b'RT @JustinTrudeau: We\xe2\x80\x99re in a climate emergency, and we cannot wait to act. Today we\xe2\x80\x99re announcing our plan to fight the climate crisis and\xe2\x80\xa6'"
1428075037874130949,2021-08-18 19:23:16,"b'RT @IAFFCanada: IAFF supports the @liberal_party commitment of $500M to train 1,000 fire fighters and invest in the equipment needed for wi\xe2\x80\xa6'"
1427782760647729153,2021-08-18 00:01:51,"b""RT @liberal_party: Yesterday, Erin O'Toole revealed his Conservative cuts to child care, climate action, COVID supports, and more. @JustinT\xe2\x80\xa6"""
1427767154816868357,2021-08-17 22:59:50,b'RT @JustinTrudeau: Parents can\xe2\x80\x99t afford to move backwards. \n\nWe can\xe2\x80\x99t afford to have Conservatives take Canada back. \n\nThat\xe2\x80\x99s why we need t\xe2\x80\xa6'
1427704047406968832,2021-08-17 18:49:05,b'RT @cathmckenna: I think parents across the country and especially mothers will have views about having less affordable childcare rather th\xe2\x80\xa6'
